Time (s),Ax (m/s²),Ay (m/s²),Az (m/s²),Fᵧ (N),rᵧ (m),vᵧ (m/s),aᵧ (m/s²)
9.710000038146973,0.07003740221261978,-8.322893142700195,-3.041944980621338,-2.241212844848633,-0.02222222089767456,0.03333333507180214,0.9898989200592041
9.720000267028809,0.07379666715860367,-8.349651336669922,-3.0421483516693115,-2.246713161468506,-0.02177777700126171,0.04444444552063942,1.0202019214630127
9.729999542236328,0.10415452718734741,-8.377459526062012,-3.029531478881836,-2.2542765140533447,-0.021222220733761787,0.0555555559694767,1.0606060028076172
9.739999771118164,0.11418815702199936,-8.41150188446045,-3.0344598293304443,-2.260464668273926,-0.02055555395781994,0.06666667014360428,1.0606061220169067
9.75,0.08915964514017105,-8.451642990112305,-3.0671560764312744,-2.2694029808044434,-0.019777776673436165,0.07777778059244156,1.0202021598815918
9.760000228881836,0.09028802812099457,-8.504804611206055,-3.075268030166626,-2.2769663333892822,-0.018888888880610466,0.08888889849185944,0.9393938779830933
9.770000457763672,0.07082051783800125,-8.559653282165527,-3.0885493755340576,-2.2859046459198,-0.017888888716697693,0.10000000149011612,0.8787878751754761
9.779999732971191,0.06186233088374138,-8.613773345947266,-3.1354334354400635,-2.297593355178833,-0.016777776181697845,0.1111111119389534,0.7878788113594055
9.789999961853027,0.05673444643616676,-8.672072410583496,-3.1141059398651123,-2.3085944652557373,-0.015666667371988297,0.1111111119389534,0.6767675876617432
9.800000190734863,0.018654417246580124,-8.74011516571045,-3.083261489868164,-2.3195958137512207,-0.014444445259869099,0.12222222238779068,0.6060605645179749
9.8100004196167,-0.012712574563920498,-8.814932823181152,-3.0967512130737305,-2.3326592445373535,-0.013222222216427326,0.12222223728895187,0.47474750876426697
9.819999694824219,0.03209039941430092,-8.900471687316895,-3.0106918811798096,-2.3450355529785156,-0.011888887733221054,0.13333334028720856,0.35353532433509827
9.829999923706055,0.04740859940648079,-8.976426124572754,-3.084939479827881,-2.3574118614196777,-0.010555556043982506,0.13333334028720856,0.3030303120613098
9.84000015258789,0.0650322213768959,-9.070189476013184,-3.0827314853668213,-2.3704757690429688,-0.009222221560776234,0.13333334028720856,0.22222226858139038
9.850000381469727,0.08289045840501785,-9.138007164001465,-3.0918562412261963,-2.3856019973754883,-0.007777777966111898,0.14444445073604584,0.12121212482452393
9.859999656677246,0.08278413116931915,-9.21950626373291,-3.096578598022461,-2.400041103363037,-0.006444444414228201,0.13333334028720856,0.010100997984409332
9.869999885559082,0.08369466662406921,-9.302963256835938,-3.134085178375244,-2.414479970932007,-0.005111111328005791,0.13333335518836975,-0.10101010650396347
9.880000114440918,0.07634618878364563,-9.386378288269043,-3.110332489013672,-2.42685604095459,-0.003666666569188237,0.14444445073604584,-0.10101010650396347
9.890000343322754,0.09312985837459564,-9.471202850341797,-3.1291840076446533,-2.4412953853607178,-0.002333333482965827,0.13333334028720856,-0.20202019810676575
9.899999618530273,0.12289275228977203,-9.553519248962402,-3.1276605129241943,-2.4543590545654297,-0.0009999999310821295,0.13333335518836975,-0.28282827138900757
9.90999984741211,0.11270415037870407,-9.622526168823242,-3.099133014678955,-2.4674229621887207,0.0002222222974523902,0.12222222238779068,-0.28282827138900757
9.920000076293945,0.06602843105792999,-9.69226360321045,-3.084522008895874,-2.4797990322113037,0.0014444445259869099,0.12222222238779068,-0.3636363744735718
9.930000305175781,0.06274230033159256,-9.759330749511719,-3.045393705368042,-2.491487741470337,0.0027777780778706074,0.13333335518836975,-0.41414138674736023
9.9399995803833,0.026008067652583122,-9.834030151367188,-3.0662758350372314,-2.50386381149292,0.003888889215886593,0.1111111268401146,-0.42424243688583374
9.949999809265137,0.015567180700600147,-9.899297714233398,-3.094118118286133,-2.5141775608062744,0.005000000353902578,0.1111111119389534,-0.49494948983192444
9.960000038146973,0.0015646407846361399,-9.960165023803711,-3.093817949295044,-2.523115873336792,0.0061111110262572765,0.1111111119389534,-0.5151515603065491
9.970000267028809,0.044471625238657,-10.006250381469727,-3.1142354011535645,-2.535491943359375,0.007111111655831337,0.10000000894069672,-0.6464646458625793
9.979999542236328,0.08039218932390213,-10.048674583435059,-3.1157386302948,-2.5458054542541504,0.008111110888421535,0.10000000894069672,-0.7171717286109924
9.989999771118164,0.05586567148566246,-10.116973876953125,-3.091599464416504,-2.556119203567505,0.009000000543892384,0.08888889849185944,-0.7171717882156372
10,0.09197480231523514,-10.148143768310547,-3.109133243560791,-2.5650575160980225,0.009777778759598732,0.07777778059244156,-0.808080792427063
10.010000228881836,0.07761793583631516,-10.191237449645996,-3.0726051330566406,-2.574683666229248,0.010555555112659931,0.07777778059244156,-0.8787878751754761
10.020000457763672,0.042695313692092896,-10.228809356689453,-3.063673496246338,-2.582247018814087,0.01111111231148243,0.0555555559694767,-0.9191918969154358
10.029999732971191,0.024308819323778152,-10.254063606262207,-3.0655291080474854,-2.5863723754882812,0.01166666578501463,0.0555555559694767,-0.9292929768562317
10.039999961853027,0.031065335497260094,-10.270295143127441,-3.0532619953155518,-2.5904977321624756,0.012111110612750053,0.04444444552063942,-0.8585858941078186
