Time (s),Ay (m/s²),Fᵧ (N),rᵧ (m),vᵧ (m/s),aᵧ (m/s²)
0.8100000023841858,-2.3879785537719727,-1.0348817110061646,-0.3509005606174469,0.5942304134368896,7.795764923095703
0.8199999928474426,-2.9145843982696533,-1.1712101697921753,-0.3442634046077728,0.6637716889381409,7.236858367919922
0.8299999833106995,-3.433605432510376,-1.2910053730010986,-0.336869478225708,0.7394394278526306,6.7035627365112305
0.8399999737739563,-4.004022598266602,-1.3952322006225586,-0.3288308382034302,0.8039042353630066,6.120701313018799
0.8500000238418579,-4.606898784637451,-1.4785655736923218,-0.32023361325263977,0.8597655296325684,5.527626991271973
0.8600000143051147,-5.229339122772217,-1.56890869140625,-0.3111039996147156,0.9129968881607056,4.9267377853393555
0.8700000047683716,-5.674249649047852,-1.6733320951461792,-0.3015275001525879,0.9576860070228577,4.313721656799316
0.8799999952316284,-6.230335235595703,-1.7819193601608276,-0.29153093695640564,0.9996839165687561,3.676628589630127
0.8899999856948853,-6.673052787780762,-1.8800257444381714,-0.28119924664497375,1.033200740814209,3.088404893875122
0.8999999761581421,-7.26411771774292,-1.991180419921875,-0.2705598473548889,1.0639653205871582,2.4978482723236084
0.9100000262260437,-7.950429439544678,-2.1199073791503906,-0.2597247064113617,1.083526849746704,1.88166344165802
0.9200000166893005,-8.582860946655273,-2.240377426147461,-0.24877789616584778,1.0946992635726929,1.2859036922454834
0.9300000071525574,-9.01557445526123,-2.332296133041382,-0.2377193570137024,1.1058714389801025,0.697605550289154
0.9399999976158142,-9.72359561920166,-2.4348316192626953,-0.22657771408557892,1.1141691207885742,0.08129062503576279
0.949999988079071,-10.450775146484375,-2.5559427738189697,-0.21546509861946106,1.1112639904022217,-0.5395590662956238
0.9599999785423279,-11.079833030700684,-2.6751136779785156,-0.2044641524553299,1.1000916957855225,-1.1195589303970337
0.9700000286102295,-11.61849594116211,-2.770484447479248,-0.19357497990131378,1.0889194011688232,-1.6884543895721436
0.9800000190734863,-12.143259048461914,-2.871530532836914,-0.18285727500915527,1.0717531442642212,-2.3124449253082275
0.9900000095367432,-12.736912727355957,-2.9790101051330566,-0.17247474193572998,1.038236379623413,-2.9162890911102295
1,-13.480395317077637,-3.0798752307891846,-0.1624273657798767,1.004719614982605,-3.448674201965332
1.0099999904632568,-13.975728988647461,-3.1547653675079346,-0.15271514654159546,0.9712029099464417,-3.99127197265625
1.0199999809265137,-14.368654251098633,-3.2398757934570312,-0.14340032637119293,0.9314475059509277,-4.529864311218262
1.0299999713897705,-14.939471244812012,-3.33305025100708,-0.13464410603046417,0.8755861520767212,-5.01324987411499
1.0399999618530273,-15.297358512878418,-3.4142961502075195,-0.12641476094722748,0.8229051828384399,-5.439515113830566
1.0499999523162842,-15.54817008972168,-3.4683408737182617,-0.11869634687900543,0.7717940807342529,-5.8993449211120605
1.059999942779541,-15.881885528564453,-3.5225305557250977,-0.11164826899766922,0.7047604322433472,-6.355699062347412
1.0700000524520874,-16.201208114624023,-3.580871820449829,-0.10527050495147705,0.6377268433570862,-6.690767288208008
1.0800000429153442,-16.411026000976562,-3.632132053375244,-0.09956306964159012,0.5706931948661804,-6.940066337585449
1.090000033378601,-16.522863388061523,-3.6615281105041504,-0.0945592075586319,0.5003262162208557,-7.200925350189209
1.100000023841858,-16.66362190246582,-3.695016860961914,-0.09037093818187714,0.418756365776062,-7.389284133911133
1.1100000143051147,-16.75703239440918,-3.723186731338501,-0.08700873702764511,0.3361671566963196,-7.55133581161499
1.1200000047683716,-16.79507064819336,-3.737154722213745,-0.08431686460971832,0.2691335380077362,-7.722168445587158
1.1299999952316284,-16.69335174560547,-3.7301025390625,-0.08236423134803772,0.19518858194351196,-7.849001884460449
1.1399999856948853,-16.545995712280273,-3.72383189201355,-0.0812358409166336,0.11278288066387177,-7.905704498291016
1.149999976158142,-16.377777099609375,-3.7192389965057373,-0.08084792643785477,0.03871559724211693,-7.885334491729736
1.159999966621399,-16.21096420288086,-3.7081823348999023,-0.08135376870632172,-0.05066259205341339,-7.900537967681885
1.1699999570846558,-15.957763671875,-3.6722922325134277,-0.08271770179271698,-0.13646279275417328,-7.956320762634277
1.1799999475479126,-15.748004913330078,-3.6304187774658203,-0.08486368507146835,-0.21466870605945587,-7.916214466094971
1.190000057220459,-15.544968605041504,-3.586831569671631,-0.08775541931390762,-0.28923550248146057,-7.801563739776611
1.2000000476837158,-15.27530574798584,-3.5388989448547363,-0.09135407209396362,-0.3599388599395752,-7.574751853942871
1.2100000381469727,-14.890460968017578,-3.4748785495758057,-0.0957716777920723,-0.4418450593948364,-7.259030818939209
1.2200000286102295,-14.443441390991211,-3.409306049346924,-0.10100863873958588,-0.5237614512443542,-6.936507225036621
1.2300000190734863,-14.059664726257324,-3.347982883453369,-0.1069534420967102,-0.5945566296577454,-6.586700916290283
1.2400000095367432,-13.706421852111816,-3.2795662879943848,-0.11356684565544128,-0.6613863706588745,-6.206414699554443
1.25,-13.286558151245117,-3.189911365509033,-0.12066524475812912,-0.7098981142044067,-5.788039207458496
1.2599999904632568,-12.759121894836426,-3.094752550125122,-0.12832225859165192,-0.7657594680786133,-5.291801929473877
1.2699999809265137,-12.311447143554688,-3.0058867931365967,-0.13649913668632507,-0.8177370429039001,-4.783447265625
1.2799999713897705,-11.83303165435791,-2.9199864864349365,-0.14512291550636292,-0.8624261021614075,-4.332798957824707
1.2899999618530273,-11.354265213012695,-2.8179476261138916,-0.15419355034828186,-0.9071151614189148,-3.911635398864746
1.2999999523162842,-10.754389762878418,-2.713777542114258,-0.16367146372795105,-0.9478287696838379,-3.440394639968872
1.309999942779541,-10.039870262145996,-2.6153604984283447,-0.17344455420970917,-0.977339506149292,-2.883124351501465
1.3200000524520874,-9.645001411437988,-2.517707586288452,-0.18344110250473022,-0.9996840357780457,-2.3238282203674316
1.3300000429153442,-9.043209075927734,-2.405787229537964,-0.1937016397714615,-1.0260957479476929,-1.7543842792510986
1.340000033378601,-8.298056602478027,-2.2939400672912598,-0.20417474210262299,-1.047318935394287,-1.1256548166275024
1.350000023841858,-7.814192295074463,-2.192732572555542,-0.21464784443378448,-1.047318935394287,-0.5178982615470886
